SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
601-0010;0.00;0.00;0.00;0.00
601-0011;0.00;0.00;0.00;0.00
601-0012;0.00;0.00;0.00;0.00
601-0016;13,644.48;3,691.53;0.00;17,336.01
601-0017;4,239.45;1,152.68;0.00;5,392.13
601-0018;7,598.46;2,235.36;0.00;9,833.82
601-0019;9,536.05;2,805.37;0.00;12,341.42
601-0021;157,023.84;44,822.55;0.00;201,846.39
601-0022;173.88;33.33;0.00;207.21
601-0023;5,878.88;1,055.01;0.00;6,933.89
601-0024;1,369.73;263.76;0.00;1,633.49
601-0025;0.00;0.00;0.00;0.00
601-0026;2,715.03;806.26;0.00;3,521.29
601-0027;0.00;0.00;0.00;0.00
601-0028;1,471.67;676.66;0.00;2,148.33
601-0029;1,471.67;676.66;0.00;2,148.33
601-0030;0.00;0.00;0.00;0.00
601-0031;452.05;0.00;0.00;452.05
601-0032;0.00;0.00;0.00;0.00
601-0036;23,446.08;5,835.50;0.00;29,281.58
601-0037;5,116.70;1,450.03;0.00;6,566.73
601-0038;9,287.36;2,431.67;0.00;11,719.03
601-0039;11,512.52;3,051.77;0.00;14,564.29
601-0042;296,382.50;91,499.00;0.00;387,881.50
601-0043;0.00;0.00;0.00;0.00
601-0044;67,410.00;16,852.50;0.00;84,262.50
601-0045;2,303.52;575.88;0.00;2,879.40
601-0046;45,476.25;23,356.91;0.00;68,833.16
601-0047;71,806.58;18,234.26;0.00;90,040.84
601-0048;87,030.94;23,093.27;0.00;110,124.21
601-0049;25,387.00;5,431.00;0.00;30,818.00
601-0050;0.00;0.00;0.00;0.00
601-0051;222,228.52;100,798.13;0.00;323,026.65
601-0052;12,919.93;3,229.99;0.00;16,149.92
601-0053;50,324.12;10,000.00;0.00;60,324.12
601-0054;53,962.20;14,422.87;0.00;68,385.07
601-0055;3,185.00;0.00;0.00;3,185.00
601-0056;48,851.30;2,027.36;0.00;50,878.66
