SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
601-0010;0.00;0.00;0.00;0.00
601-0011;0.00;0.00;0.00;0.00
601-0012;0.00;0.00;0.00;0.00
601-0016;10,147.13;3,497.35;0.00;13,644.48
601-0017;3,127.40;1,112.05;0.00;4,239.45
601-0018;5,420.77;2,177.69;0.00;7,598.46
601-0019;6,803.02;2,733.03;0.00;9,536.05
601-0021;119,101.54;37,922.30;0.00;157,023.84
601-0022;155.55;18.33;0.00;173.88
601-0023;4,541.68;1,337.20;0.00;5,878.88
601-0024;1,035.43;334.30;0.00;1,369.73
601-0025;0.00;0.00;0.00;0.00
601-0026;2,060.85;654.18;0.00;2,715.03
601-0027;0.00;0.00;0.00;0.00
601-0028;1,471.67;0.00;0.00;1,471.67
601-0029;1,471.67;0.00;0.00;1,471.67
601-0030;0.00;0.00;0.00;0.00
601-0031;0.00;452.05;0.00;452.05
601-0032;0.00;0.00;0.00;0.00
601-0036;17,871.46;5,574.62;0.00;23,446.08
601-0037;3,895.15;1,221.55;0.00;5,116.70
601-0038;7,011.19;2,276.17;0.00;9,287.36
601-0039;8,653.72;2,858.80;0.00;11,512.52
601-0042;219,757.50;76,625.00;0.00;296,382.50
601-0043;0.00;0.00;0.00;0.00
601-0044;50,557.50;16,852.50;0.00;67,410.00
601-0045;1,727.64;575.88;0.00;2,303.52
601-0046;45,476.25;0.00;0.00;45,476.25
601-0047;53,178.53;18,628.05;0.00;71,806.58
601-0048;64,645.54;22,385.40;0.00;87,030.94
601-0049;19,140.80;6,246.20;0.00;25,387.00
601-0050;0.00;0.00;0.00;0.00
601-0051;198,587.79;23,640.73;0.00;222,228.52
601-0052;9,689.94;3,229.99;0.00;12,919.93
601-0053;36,324.12;14,000.00;0.00;50,324.12
601-0054;42,494.35;11,467.85;0.00;53,962.20
601-0055;3,185.00;0.00;0.00;3,185.00
601-0056;22,638.82;26,212.48;0.00;48,851.30
