SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
601-0010;0.00;0.00;0.00;0.00
601-0011;0.00;0.00;0.00;0.00
601-0012;0.00;0.00;0.00;0.00
601-0016;17,336.01;3,536.24;0.00;20,872.25
601-0017;5,392.13;1,098.53;0.00;6,490.66
601-0018;9,833.82;2,055.21;0.00;11,889.03
601-0019;12,341.42;2,579.30;0.00;14,920.72
601-0021;201,846.39;38,426.40;0.00;240,272.79
601-0022;207.21;22.22;0.00;229.43
601-0023;6,933.89;2,120.01;0.00;9,053.90
601-0024;1,633.49;530.01;0.00;2,163.50
601-0025;0.00;0.00;0.00;0.00
601-0026;3,521.29;547.51;0.00;4,068.80
601-0027;0.00;0.00;0.00;0.00
601-0028;2,148.33;0.00;0.00;2,148.33
601-0029;2,148.33;0.00;0.00;2,148.33
601-0030;0.00;0.00;0.00;0.00
601-0031;452.05;0.00;0.00;452.05
601-0032;0.00;0.00;0.00;0.00
601-0036;29,281.58;5,849.08;0.00;35,130.66
601-0037;6,566.73;1,249.38;0.00;7,816.11
601-0038;11,719.03;2,258.68;0.00;13,977.71
601-0039;14,564.29;2,834.61;0.00;17,398.90
601-0042;387,881.50;90,758.50;0.00;478,640.00
601-0043;0.00;0.00;0.00;0.00
601-0044;84,262.50;16,852.50;0.00;101,115.00
601-0045;2,879.40;575.88;0.00;3,455.28
601-0046;68,833.16;1,646.43;0.00;70,479.59
601-0047;90,040.84;17,653.46;0.00;107,694.30
601-0048;110,124.21;22,385.40;0.00;132,509.61
601-0049;30,818.00;5,421.00;0.00;36,239.00
601-0050;0.00;0.00;0.00;0.00
601-0051;323,026.65;70,289.07;0.00;393,315.72
601-0052;16,149.92;3,229.99;0.00;19,379.91
601-0053;60,324.12;10,196.00;0.00;70,520.12
601-0054;68,385.07;13,651.66;0.00;82,036.73
601-0055;3,185.00;0.00;0.00;3,185.00
601-0056;50,878.66;20,814.36;0.00;71,693.02
