SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
601-0011;0.00;0.00;0.00;0.00
601-0012;0.00;0.00;0.00;0.00
601-0016;6,998.57;3,148.56;0.00;10,147.13
601-0017;2,069.56;1,057.84;0.00;3,127.40
601-0018;3,756.21;1,664.56;0.00;5,420.77
601-0019;4,714.02;2,089.00;0.00;6,803.02
601-0021;79,284.08;39,817.46;0.00;119,101.54
601-0022;0.00;155.55;0.00;155.55
601-0023;3,750.02;791.66;0.00;4,541.68
601-0024;837.52;197.91;0.00;1,035.43
601-0025;0.00;0.00;0.00;0.00
601-0026;1,399.18;661.67;0.00;2,060.85
601-0027;0.00;0.00;0.00;0.00
601-0028;786.66;685.01;0.00;1,471.67
601-0029;786.66;685.01;0.00;1,471.67
601-0030;0.00;0.00;0.00;0.00
601-0031;0.00;0.00;0.00;0.00
601-0032;0.00;0.00;0.00;0.00
601-0036;11,748.72;6,122.74;0.00;17,871.46
601-0037;2,605.32;1,289.83;0.00;3,895.15
601-0038;4,620.69;2,390.50;0.00;7,011.19
601-0039;5,655.86;2,997.86;0.00;8,653.72
601-0042;153,670.00;66,087.50;0.00;219,757.50
601-0043;0.00;0.00;0.00;0.00
601-0044;33,705.00;16,852.50;0.00;50,557.50
601-0045;1,151.76;575.88;0.00;1,727.64
601-0046;22,844.66;22,631.59;0.00;45,476.25
601-0047;35,049.63;18,128.90;0.00;53,178.53
601-0048;41,552.27;23,093.27;0.00;64,645.54
601-0049;13,639.60;5,501.20;0.00;19,140.80
601-0050;0.00;0.00;0.00;0.00
601-0051;167,389.28;31,198.51;0.00;198,587.79
601-0052;6,459.96;3,229.98;0.00;9,689.94
601-0053;26,324.12;10,000.00;0.00;36,324.12
601-0054;31,152.86;11,341.49;0.00;42,494.35
601-0055;0.00;3,185.00;0.00;3,185.00
601-0056;9,626.55;13,012.27;0.00;22,638.82
601-0057;88,235.06;49,629.93;0.00;137,864.99
602-0000;174,686.16;79,028.74;0.00;253,714.90
602-0001;64,288.30;34,534.60;0.00;98,822.90
602-0002;63,614.33;27,589.80;0.00;91,204.13
602-0003;1,166.65;146.11;0.00;1,312.76
602-0004;291.68;36.53;0.00;328.21
602-0005;0.00;0.00;0.00;0.00
602-0006;333.36;208.34;0.00;541.70
602-0007;0.00;0.00;0.00;0.00
602-0008;517.16;333.32;0.00;850.48
602-0009;1,149.50;333.32;0.00;1,482.82
602-0010;0.00;0.00;0.00;0.00
602-0011;0.00;438.34;0.00;438.34
602-0012;0.00;0.00;0.00;0.00
602-0016;8,778.51;4,841.79;0.00;13,620.30
602-0017;3,940.83;1,908.61;0.00;5,849.44
602-0018;14,176.86;3,379.40;0.00;17,556.26
602-0019;6,287.36;4,241.15;0.00;10,528.51
602-0022;7,225.00;0.00;0.00;7,225.00
602-0056;2,916.62;1,037.43;0.00;3,954.05
603-0000;269,648.45;128,174.39;0.00;397,822.84
603-0001;170,628.52;88,914.25;0.00;259,542.77
603-0002;0.00;0.00;0.00;0.00
603-0003;933.34;1,066.68;0.00;2,000.02
603-0004;233.34;266.67;0.00;500.01
603-0005;0.00;0.00;0.00;0.00
603-0006;560.80;350.50;0.00;911.30
603-0007;605.87;378.67;0.00;984.54
603-0008;266.67;350.50;0.00;617.17
603-0009;266.67;449.50;0.00;716.17
603-0010;0.00;0.00;0.00;0.00
603-0011;0.00;0.00;0.00;0.00
603-0012;0.00;0.00;0.00;0.00
603-0016;17,094.00;0.00;0.00;17,094.00
603-0017;14,107.47;6,795.69;0.00;20,903.16
603-0018;5,204.85;2,753.30;0.00;7,958.15
603-0019;0.00;4,615.17;0.00;4,615.17
603-0022;11,504.62;5,792.04;0.00;17,296.66
603-0042;0.00;0.00;0.00;0.00
603-0043;22,652.32;7,500.00;0.00;30,152.32
603-0045;7,087.08;3,193.00;0.00;10,280.08
603-0046;0.00;0.00;0.00;0.00
603-0047;1,900.00;950.00;0.00;2,850.00
603-0048;0.00;0.00;0.00;0.00
603-0049;0.00;0.00;0.00;0.00
603-0050;7,029.66;0.00;0.00;7,029.66
603-0051;0.00;0.00;0.00;0.00
603-0052;0.00;0.00;0.00;0.00
603-0053;0.00;0.00;0.00;0.00
603-0056;9,112.84;4,556.42;0.00;13,669.26
603-0057;460.40;242.00;0.00;702.40
610-0000;190,542.96;95,497.56;0.00;286,040.52
610-0001;7,527.88;3,763.94;0.00;11,291.82
610-0002;1,805.57;1,104.69;0.00;2,910.26
610-0003;2,323.58;1,161.79;0.00;3,485.37
610-0004;94,695.56;47,347.78;0.00;142,043.34
610-0005;84,190.37;42,119.36;0.00;126,309.73
612-0000;36,032.82;18,016.41;0.00;54,049.23
612-0001;36,032.82;18,016.41;0.00;54,049.23
701-0000;0.00;0.00;0.00;0.00
701-0001;0.00;0.00;0.00;0.00
702-0000;1,467.83;0.00;613.87;2,081.70
702-0001;0.00;0.00;0.00;0.00
702-0002;1,467.83;0.00;613.87;2,081.70
703-0000;1,339.34;245.24;0.00;1,584.58
703-0001;0.00;0.00;0.00;0.00
703-0001;1,339.34;245.24;0.00;1,584.58
704-0000;1,231.47;0.00;0.77;1,232.24
704-0001;0.00;0.00;0.00;0.00
704-0002;1,231.47;0.00;0.77;1,232.24
