SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
602-0012;0;0;0;0
602-0016;0;4587.45;0;4587.45
602-0017;0;2664.97;0;2664.97
602-0018;0;6030.5;0;6030.5
602-0019;0;1776.26;0;1776.26
602-0022;0;2225;0;2225
602-0056;0;1458.31;0;1458.31
603-0000;0;128657.79;0;128657.79
603-0001;0;89016.76;0;89016.76
603-0002;0;0;0;0
603-0003;0;933.34;0;933.34
603-0004;0;233.34;0;233.34
603-0005;0;0;0;0
603-0006;0;280.4;0;280.4
603-0007;0;302.94;0;302.94
603-0008;0;0;0;0
603-0009;0;0;0;0
603-0010;0;0;0;0
603-0011;0;0;0;0
603-0012;0;0;0;0
603-0016;0;0;0;0
603-0017;0;7397.59;0;7397.59
603-0018;0;2723;0;2723
603-0019;0;0;0;0
603-0022;0;5792.04;0;5792.04
603-0042;0;0;0;0
603-0043;0;11326.16;0;11326.16
603-0045;0;3804.52;0;3804.52
603-0046;0;0;0;0
603-0047;0;950;0;950
603-0048;0;0;0;0
603-0049;0;0;0;0
603-0050;0;1143.28;0;1143.28
603-0051;0;0;0;0
603-0052;0;0;0;0
603-0053;0;0;0;0
603-0056;0;4556.42;0;4556.42
603-0057;0;198;0;198
610-0000;0;95045.4;0;95045.4
610-0001;0;3763.94;0;3763.94
610-0002;0;700.88;0;700.88
610-0003;0;1161.79;0;1161.79
610-0004;0;47347.78;0;47347.78
610-0005;0;42071.01;0;42071.01
612-0000;0;18016.41;0;18016.41
612-0001;0;18016.41;0;18016.41
701-0000;0;0;0;0
701-0001;0;0;0;0
702-0000;0;0;806.69;806.69
702-0001;0;0;0;0
702-0002;0;0;806.69;806.69
703-0000;0;789.06;0;789.06
703-0001;0;0;0;0
703-0001;0;789.06;0;789.06
704-0000;0;0;1227.31;1227.31
704-0001;0;0;0;0
704-0002;0;0;1227.31;1227.31
