SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
601-0012;0.00;0.00;0.00;0.00
601-0016;0.00;3,672.87;0.00;3,672.87
601-0017;0.00;1,067.44;0.00;1,067.44
601-0018;0.00;1,664.56;0.00;1,664.56
601-0019;0.00;2,089.00;0.00;2,089.00
601-0021;0.00;39,951.75;0.00;39,951.75
601-0022;0.00;0.00;0.00;0.00
601-0023;0.00;3,250.02;0.00;3,250.02
601-0024;0.00;712.52;0.00;712.52
601-0025;0.00;0.00;0.00;0.00
601-0026;0.00;754.18;0.00;754.18
601-0027;0.00;0.00;0.00;0.00
601-0028;0.00;0.00;0.00;0.00
601-0029;0.00;0.00;0.00;0.00
601-0030;0.00;0.00;0.00;0.00
601-0031;0.00;0.00;0.00;0.00
601-0032;0.00;0.00;0.00;0.00
601-0036;0.00;5,913.89;0.00;5,913.89
601-0037;0.00;1,340.05;0.00;1,340.05
601-0038;0.00;2,390.50;0.00;2,390.50
601-0039;0.00;2,997.86;0.00;2,997.86
601-0042;0.00;74,275.00;0.00;74,275.00
601-0043;0.00;0.00;0.00;0.00
601-0044;0.00;16,852.50;0.00;16,852.50
601-0045;0.00;575.88;0.00;575.88
601-0046;0.00;0.00;0.00;0.00
601-0047;0.00;17,546.69;0.00;17,546.69
601-0048;0.00;19,166.87;0.00;19,166.87
601-0049;0.00;8,119.20;0.00;8,119.20
601-0050;0.00;0.00;0.00;0.00
601-0051;0.00;75,505.55;0.00;75,505.55
601-0052;0.00;3,229.98;0.00;3,229.98
601-0053;0.00;11,770.00;0.00;11,770.00
601-0054;0.00;19,464.37;0.00;19,464.37
601-0055;0.00;0.00;0.00;0.00
601-0056;0.00;20,017.35;0.00;20,017.35
601-0057;0.00;49,494.73;0.00;49,494.73
602-0000;0.00;107,574.88;0.00;107,574.88
602-0001;0.00;32,888.38;0.00;32,888.38
602-0002;0.00;54,319.00;0.00;54,319.00
602-0003;0.00;1,166.65;0.00;1,166.65
602-0004;0.00;291.68;0.00;291.68
602-0005;0.00;0.00;0.00;0.00
602-0006;0.00;166.68;0.00;166.68
602-0007;0.00;0.00;0.00;0.00
602-0008;0.00;0.00;0.00;0.00
602-0009;0.00;0.00;0.00;0.00
602-0010;0.00;0.00;0.00;0.00
602-0011;0.00;0.00;0.00;0.00
602-0012;0.00;0.00;0.00;0.00
602-0016;0.00;4,587.45;0.00;4,587.45
602-0017;0.00;2,664.97;0.00;2,664.97
602-0018;0.00;6,030.50;0.00;6,030.50
602-0019;0.00;1,776.26;0.00;1,776.26
602-0022;0.00;2,225.00;0.00;2,225.00
602-0056;0.00;1,458.31;0.00;1,458.31
603-0000;0.00;128,657.79;0.00;128,657.79
603-0001;0.00;89,016.76;0.00;89,016.76
603-0002;0.00;0.00;0.00;0.00
603-0003;0.00;933.34;0.00;933.34
603-0004;0.00;233.34;0.00;233.34
603-0005;0.00;0.00;0.00;0.00
603-0006;0.00;280.40;0.00;280.40
603-0007;0.00;302.94;0.00;302.94
603-0008;0.00;0.00;0.00;0.00
603-0009;0.00;0.00;0.00;0.00
603-0010;0.00;0.00;0.00;0.00
603-0011;0.00;0.00;0.00;0.00
603-0012;0.00;0.00;0.00;0.00
603-0016;0.00;0.00;0.00;0.00
603-0017;0.00;7,397.59;0.00;7,397.59
603-0018;0.00;2,723.00;0.00;2,723.00
603-0019;0.00;0.00;0.00;0.00
603-0022;0.00;5,792.04;0.00;5,792.04
603-0042;0.00;0.00;0.00;0.00
603-0043;0.00;11,326.16;0.00;11,326.16
603-0045;0.00;3,804.52;0.00;3,804.52
603-0046;0.00;0.00;0.00;0.00
603-0047;0.00;950.00;0.00;950.00
603-0048;0.00;0.00;0.00;0.00
603-0049;0.00;0.00;0.00;0.00
603-0050;0.00;1,143.28;0.00;1,143.28
603-0051;0.00;0.00;0.00;0.00
603-0052;0.00;0.00;0.00;0.00
603-0053;0.00;0.00;0.00;0.00
603-0056;0.00;4,556.42;0.00;4,556.42
603-0057;0.00;198.00;0.00;198.00
610-0000;0.00;95,045.40;0.00;95,045.40
610-0001;0.00;3,763.94;0.00;3,763.94
610-0002;0.00;700.88;0.00;700.88
610-0003;0.00;1,161.79;0.00;1,161.79
610-0004;0.00;47,347.78;0.00;47,347.78
610-0005;0.00;42,071.01;0.00;42,071.01
612-0000;0.00;18,016.41;0.00;18,016.41
612-0001;0.00;18,016.41;0.00;18,016.41
701-0000;0.00;0.00;0.00;0.00
701-0001;0.00;0.00;0.00;0.00
702-0000;0.00;0.00;806.69;806.69
702-0001;0.00;0.00;0.00;0.00
702-0002;0.00;0.00;806.69;806.69
703-0000;0.00;789.06;0.00;789.06
703-0001;0.00;0.00;0.00;0.00
703-0001;0.00;789.06;0.00;789.06
704-0000;0.00;0.00;1,227.31;1,227.31
704-0001;0.00;0.00;0.00;0.00
704-0002;0.00;0.00;1,227.31;1,227.31
