SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
601-0016;3,672.87;3,325.70;0.00;6,998.57
601-0017;1,067.44;1,002.12;0.00;2,069.56
601-0018;1,664.56;2,091.65;0.00;3,756.21
601-0019;2,089.00;2,625.02;0.00;4,714.02
601-0021;39,951.75;39,332.33;0.00;79,284.08
601-0022;0.00;0.00;0.00;0.00
601-0023;3,250.02;500.00;0.00;3,750.02
601-0024;712.52;125.00;0.00;837.52
601-0025;0.00;0.00;0.00;0.00
601-0026;754.18;645.00;0.00;1,399.18
601-0027;0.00;0.00;0.00;0.00
601-0028;0.00;786.66;0.00;786.66
601-0029;0.00;786.66;0.00;786.66
601-0030;0.00;0.00;0.00;0.00
601-0031;0.00;0.00;0.00;0.00
601-0032;0.00;0.00;0.00;0.00
601-0036;5,913.89;5,834.83;0.00;11,748.72
601-0037;1,340.05;1,265.27;0.00;2,605.32
601-0038;2,390.50;2,230.19;0.00;4,620.69
601-0039;2,997.86;2,658.00;0.00;5,655.86
601-0042;74,275.00;79,395.00;0.00;153,670.00
601-0043;0.00;0.00;0.00;0.00
601-0044;16,852.50;16,852.50;0.00;33,705.00
601-0045;575.88;575.88;0.00;1,151.76
601-0046;0.00;22,844.66;0.00;22,844.66
601-0047;17,546.69;17,502.94;0.00;35,049.63
601-0048;19,166.87;22,385.40;0.00;41,552.27
601-0049;8,119.20;5,520.40;0.00;13,639.60
601-0050;0.00;0.00;0.00;0.00
601-0051;75,505.55;91,883.73;0.00;167,389.28
601-0052;3,229.98;3,229.98;0.00;6,459.96
601-0053;11,770.00;14,554.12;0.00;26,324.12
601-0054;19,464.37;11,688.49;0.00;31,152.86
601-0055;0.00;0.00;0.00;0.00
601-0056;20,017.35;-10,390.80;0.00;9,626.55
601-0057;49,494.73;38,740.33;0.00;88,235.06
602-0000;107,574.88;67,111.28;0.00;174,686.16
602-0001;32,888.38;31,399.92;0.00;64,288.30
602-0002;54,319.00;9,295.33;0.00;63,614.33
602-0003;1,166.65;0.00;0.00;1,166.65
602-0004;291.68;0.00;0.00;291.68
602-0005;0.00;0.00;0.00;0.00
602-0006;166.68;166.68;0.00;333.36
602-0007;0.00;0.00;0.00;0.00
602-0008;0.00;517.16;0.00;517.16
602-0009;0.00;1,149.50;0.00;1,149.50
602-0010;0.00;0.00;0.00;0.00
602-0011;0.00;0.00;0.00;0.00
602-0012;0.00;0.00;0.00;0.00
602-0016;4,587.45;4,191.06;0.00;8,778.51
602-0017;2,664.97;1,275.86;0.00;3,940.83
602-0018;6,030.50;8,146.36;0.00;14,176.86
602-0019;1,776.26;4,511.10;0.00;6,287.36
602-0022;2,225.00;5,000.00;0.00;7,225.00
602-0056;1,458.31;1,458.31;0.00;2,916.62
603-0000;128,657.79;140,990.66;0.00;269,648.45
603-0001;89,016.76;81,611.76;0.00;170,628.52
603-0002;0.00;0.00;0.00;0.00
603-0003;933.34;0.00;0.00;933.34
603-0004;233.34;0.00;0.00;233.34
603-0005;0.00;0.00;0.00;0.00
603-0006;280.40;280.40;0.00;560.80
603-0007;302.94;302.93;0.00;605.87
603-0008;0.00;266.67;0.00;266.67
603-0009;0.00;266.67;0.00;266.67
603-0010;0.00;0.00;0.00;0.00
603-0011;0.00;0.00;0.00;0.00
603-0012;0.00;0.00;0.00;0.00
603-0016;0.00;17,094.00;0.00;17,094.00
603-0017;7,397.59;6,709.88;0.00;14,107.47
603-0018;2,723.00;2,481.85;0.00;5,204.85
603-0019;0.00;0.00;0.00;0.00
603-0022;5,792.04;5,712.58;0.00;11,504.62
603-0042;0.00;0.00;0.00;0.00
603-0043;11,326.16;11,326.16;0.00;22,652.32
603-0045;3,804.52;3,282.56;0.00;7,087.08
603-0046;0.00;0.00;0.00;0.00
603-0047;950.00;950.00;0.00;1,900.00
603-0048;0.00;0.00;0.00;0.00
603-0049;0.00;0.00;0.00;0.00
603-0050;1,143.28;5,886.38;0.00;7,029.66
603-0051;0.00;0.00;0.00;0.00
603-0052;0.00;0.00;0.00;0.00
603-0053;0.00;0.00;0.00;0.00
603-0056;4,556.42;4,556.42;0.00;9,112.84
603-0057;198.00;262.40;0.00;460.40
610-0000;95,045.40;95,497.56;0.00;190,542.96
610-0001;3,763.94;3,763.94;0.00;7,527.88
610-0002;700.88;1,104.69;0.00;1,805.57
610-0003;1,161.79;1,161.79;0.00;2,323.58
610-0004;47,347.78;47,347.78;0.00;94,695.56
610-0005;42,071.01;42,119.36;0.00;84,190.37
612-0000;18,016.41;18,016.41;0.00;36,032.82
612-0001;18,016.41;18,016.41;0.00;36,032.82
701-0000;0.00;0.00;0.00;0.00
701-0001;0.00;0.00;0.00;0.00
702-0000;806.69;0.00;661.14;1,467.83
702-0001;0.00;0.00;0.00;0.00
702-0002;806.69;0.00;661.14;1,467.83
703-0000;789.06;550.28;0.00;1,339.34
703-0001;0.00;0.00;0.00;0.00
703-0001;789.06;550.28;0.00;1,339.34
704-0000;1,227.31;0.00;4.16;1,231.47
704-0001;0.00;0.00;0.00;0.00
704-0002;1,227.31;0.00;4.16;1,231.47
